graph_id,c_ids,total_nodes,pct_matched
DB00741_MESH_D008228_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:219121', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'MONDO:0005157', 'MONDO:0018908']",12,100.0
DB00741_MESH_D016410_1,"['PUBCHEM.COMPOUND:5754', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'MONDO:0006547', 'HP:0000989', 'MONDO:0000607']",12,100.0
DB00741_MESH_D009103_1,"['PUBCHEM.COMPOUND:5754', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'HP:0003401', 'MONDO:0000437', 'MONDO:0005301']",12,100.0
DB00420_MESH_D017118_1,"['PUBCHEM.COMPOUND:4926', 'NCBIGene:1813', 'NCBIGene:3356', 'NCBIGene:3269', 'GO:0014046', 'GO:0001820', 'GO:0001821', 'PUBCHEM.COMPOUND:681', 'PUBCHEM.COMPOUND:5202', 'PUBCHEM.COMPOUND:774', 'HP:0002018', 'MONDO:0008294']",12,100.0
DB00741_MESH_D013966_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:219121', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'UBERON:0002046', 'MONDO:0004126']",12,100.0
DB00741_MESH_D009140_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:219121', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'HP:0012531', 'MONDO:0002081']",12,100.0
DB00418_MESH_D004827_1,"['PUBCHEM.COMPOUND:5193', 'NCBIGene:2554', 'NCBIGene:2555', 'NCBIGene:2556', 'NCBIGene:2557', 'NCBIGene:2558', 'NCBIGene:2559', 'GO:0022851', 'GO:0060081', 'GO:0019228', 'GO:0050806', 'MONDO:0005027']",12,100.0
DB00741_MESH_D009182_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:5744', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'MONDO:0006547', 'MONDO:0009691']",12,100.0
DB00741_MESH_D011015_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:219121', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'UBERON:0002048', 'MONDO:0000265']",12,100.0
DB00741_MESH_D010032_1,"['PUBCHEM.COMPOUND:5754', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'HP:0012531', 'HP:0000989', 'MONDO:0004795']",12,100.0
DB00741_MESH_D013585_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:219121', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'UBERON:0002018', 'MONDO:0002400']",12,100.0
DB00741_MESH_D010392_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:5744', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'HP:0008066', 'MONDO:0006594']",12,100.0
